"Completeness_bins","Conciseness_bins","cor.mean_bins","cov.mean_bins","eigenvalues.mean_bins","g_mean.mean_bins","h_mean.mean_bins","iq_range.mean_bins","kurtosis.mean_bins","mad.mean_bins","max.mean_bins","mean.mean_bins","median.mean_bins","min.mean_bins","nr_cor_attr_bins","nr_norm_bins","nr_outliers_bins","range.mean_bins","sd.mean_bins","skewness.mean_bins","sparsity.mean_bins","t_mean.mean_bins","var.mean_bins","LabelIssues_bins","ClassImbRatio_bins","OutlierPerc_bins","ClassOverlapPerc_bins","attr_to_inst_bins","inst_to_attr_bins","nr_attr_bins","nr_inst_bins","nr_num_bins","nr_bin_bins","attr_conc.mean_bins","cEntropy_bins","ena_bins","snr.mean_bins","nUnique_bins","attr_ent.mean_bins","File","FeatureAlgo","alpha","beta"
"No","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","No","No","No","small","small","small","small","small","small","big","big","small","small","small","small","primary-tumor.data","chisquare",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","small","big","small","small","small","small","QSAR biodeg.csv","fcbf",0.1,0.08
"Yes","Yes","big","small","small","small","small","small","small","small","small","small","small","small","big","small","small","small","small","small","small","small","small","yes","Yes","No","Yes","small","small","small","small","small","small","big","big","small","small","small","big","Raisin_Dataset.csv","relief",0.1,0.08
"Yes","Yes","big","small","small","small","small","small","small","small","small","small","small","small","big","small","small","small","small","small","small","small","small","no","Yes","No","Yes","small","small","small","small","small","small","big","big","small","small","small","big","seeds_dataset.data","relief",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","No","No","No","small","small","small","small","small","small","big","small","small","small","small","small","seismic-bumps.csv","relief",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","Yes","No","No","small","small","small","small","small","small","small","big","small","small","small","small","SomervilleHappinessSurvey2015.csv","fcbf",0.1,0.08
"Yes","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","yes","Yes","Yes","Yes","big","small","big","small","big","small","small","big","small","small","small","big","sonar5cn19.csv","chisquare",0.1,0.08
"Yes","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","No","Yes","Yes","big","small","small","small","small","small","big","big","small","small","small","small","soybean-small.data","relief",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","small","small","small","small","yes","Yes","No","No","small","small","big","small","big","small","small","big","small","small","small","small","spambase.data","relief",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","Yes","Yes","Yes","small","small","small","small","small","small","small","big","small","small","small","small","SPECT.csv","GR",0.1,0.08
"Yes","Yes","big","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","No","big","small","small","small","small","small","small","big","small","small","small","big","SPECTF.csv","chisquare",0.1,0.08
"Yes","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","No","small","small","small","small","small","small","small","small","small","small","small","big","starlog shuttle imbalanced.csv","chisquare",0.1,0.08
"Yes","Yes","big","small","small","small","small","small","small","small","small","small","small","small","big","small","small","small","small","small","small","small","small","no","Yes","No","Yes","small","small","small","small","small","small","small","big","small","small","small","big","starlog vehicle sikhouettes.dat","MI",0.1,0.08
"Yes","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","Yes","No","No","small","small","small","small","small","small","small","big","small","small","small","small","starlog_australian.dat","chisquare",0.1,0.08
"Yes","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","Yes","No","No","small","small","small","small","small","small","small","big","small","small","small","small","statlog_heart.csv","chisquare",0.1,0.08
"Yes","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","No","No","Yes","small","small","small","small","small","small","small","small","small","small","small","small","student-mat.csv","chisquare",0.1,0.08
"Yes","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","No","No","No","small","small","small","small","small","small","small","big","small","small","small","small","student-por.csv","relief",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","Yes","No","Yes","small","small","small","small","small","small","big","big","small","small","small","small","tae.data","GR",0.1,0.08
"Yes","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","No","No","Yes","small","small","small","small","small","small","small","small","small","small","small","small","ThoraricSurgery.csv","relief",0.1,0.08
"Yes","Yes","big","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","No","small","small","small","small","small","small","small","big","small","small","small","big","Thyroid Disease (New Thyroid) Multi-class Imbalanced data set
.csv","GR",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","No","Yes","Yes","small","small","small","small","small","small","small","small","small","small","small","small","thyroid multiclass imbalance.csv","relief",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","No","No","Yes","small","small","small","small","small","small","small","small","small","small","small","small","thyroid.csv","chisquare",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","No","No","Yes","small","small","small","small","small","small","small","small","small","small","small","small","thyroid5cn21.csv","MI",0.1,0.08
"Yes","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","No","Yes","Yes","small","small","small","small","small","small","small","big","small","small","small","small","tic-tac-toe.data","relief",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","No","No","No","small","small","small","small","small","small","small","big","small","small","small","small","titanic.csv","fcbf",0.1,0.08
"No","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","No","No","Yes","small","small","small","small","small","small","big","big","small","small","small","small","trial.csv","relief",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","big","big","small","small","small","big","small","small","no","No","No","No","small","small","big","small","big","big","big","big","small","small","small","small","TUANDROMD.csv","MI",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","yes","Yes","No","No","small","small","big","small","big","small","small","big","small","small","small","big","Turkish_music.csv","GR",0.1,0.08
"Yes","Yes","big","small","small","small","small","small","small","small","small","small","small","small","big","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","small","big","small","small","small","big","vehicle0.csv","relief",0.1,0.08
"Yes","Yes","big","small","small","small","small","small","small","small","small","small","small","small","big","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","small","big","small","small","small","big","vehicle1.csv","GR",0.1,0.08
"Yes","Yes","big","small","small","small","small","small","small","small","small","small","small","small","big","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","big","big","small","small","small","big","vehicle2.csv","relief",0.1,0.08
"Yes","Yes","big","small","small","small","small","small","small","small","small","small","small","small","big","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","big","big","small","small","small","big","vehicle3.csv","GR",0.1,0.08
"Yes","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","No","small","small","small","small","small","small","small","big","small","small","small","big","Wholesale customers data.csv","chisquare",0.1,0.08
"Yes","Yes","big","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","Yes","No","Yes","small","small","small","small","small","small","small","big","small","small","small","big","wine imbalance.csv","chisquare",0.1,0.08
"Yes","Yes","big","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","Yes","No","Yes","small","small","small","small","small","small","small","big","small","small","small","big","wine.data","chisquare",0.1,0.08
"Yes","Yes","big","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","Yes","No","Yes","small","small","small","small","small","small","small","big","small","small","small","big","wine5cn10-nc.csv","relief",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","yes","No","No","No","small","small","small","small","small","small","small","big","small","big","small","big","winequality-red.csv","relief",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","yes","No","No","No","small","small","small","small","small","small","small","big","small","big","small","big","winequality-white.csv","GR",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","small","small","small","small","small","small","yeast-0-5-6-7-9_vs_4.csv","chisquare",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","small","small","small","small","small","big","yeast-1_vs_7.csv","chisquare",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","small","small","small","small","small","small","yeast-2_vs_4.csv","chisquare",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","small","small","small","small","small","small","yeast-2_vs_8.csv","fcbf",0.1,0.08
"Yes","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","yes","No","No","No","small","small","small","small","small","small","small","big","small","small","small","big","yeast.data","MI",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","small","big","small","small","small","big","yeast1.csv","GR",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","small","small","small","small","small","big","yeast3.csv","relief",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","small","small","small","small","small","big","yeast4.csv","GR",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","small","small","small","small","small","big","yeast5.csv","relief",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","small","big","small","small","small","big","yeast5cn21.csv","fcbf",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","small","small","small","small","small","big","yeast6.csv","fcbf",0.1,0.08
"Yes","No","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","no","No","No","Yes","small","small","small","small","small","small","small","big","small","small","small","big","yeastimbalance.csv","fcbf",0.1,0.08
"Yes","Yes","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","small","big","small","small","no","No","Yes","Yes","big","small","small","small","small","small","big","big","small","small","small","small","zoo.data","GR",0.1,0.08
